medicine_id,diagnosis_id,name,compound,uses,side_effects,department
5e7d6d49-8785-4c0b-96ca-a0da29b33efb,be8fcf65-6c02-45ce-be95-c050e1563ac0,Fluticasone,Fluticasone propionate,Reduce airway inflammation,"Thrush, hoarseness",Pediatrics
eb02906f-9ec6-4598-8fb3-51ac80a5349f,be8fcf65-6c02-45ce-be95-c050e1563ac0,Montelukast,Montelukast sodium,Prevent asthma attacks,"Headache, abdominal pain",Pediatrics
875f0f9f-c98d-4287-af21-802b98e4d061,ee22dcfb-80a3-4771-8c63-d10f1ee4e5e6,Furosemide,Furosemide,Reduce fluid overload,"Electrolyte imbalance, dehydration",Cardiology
6ffb1d44-572a-46cc-9ec7-72cdb16170f2,ee22dcfb-80a3-4771-8c63-d10f1ee4e5e6,Digoxin,Digoxin,Improve heart function,"Arrhythmias, nausea",Cardiology
26b0f8ce-80f7-42c8-bcc4-0a0715db51ef,ee22dcfb-80a3-4771-8c63-d10f1ee4e5e6,Propranolol,Propranolol,Control heart rate,"Fatigue, dizziness",Cardiology
39283060-a285-4632-a95b-1528a549bb30,bcdec02b-e399-4c56-ae0c-52c6b1a9cf5c,Phototherapy,Blue light therapy,Break down bilirubin,"Dehydration, rash",Pediatrics
0d31180c-3ec5-409f-98fb-ba5b68c681af,bcdec02b-e399-4c56-ae0c-52c6b1a9cf5c,IV fluids,Dextrose solution,Maintain hydration,Fluid overload if excessive,Pediatrics
05d8a01e-58da-4285-a6b4-6b7a624d7dfe,bcdec02b-e399-4c56-ae0c-52c6b1a9cf5c,Exchange transfusion,Whole blood exchange,Severe cases of hyperbilirubinemia,Blood reaction risk,Pediatrics
a3c27677-6501-4b4c-87dc-be426f7be817,3c966857-b162-4bc8-b808-ea36028e4036,Nutritional supplements,High-calorie formula,Promote weight gain,"Diarrhea, constipation",Pediatrics
e67d3e4f-1683-4661-8ad3-496464a90422,3c966857-b162-4bc8-b808-ea36028e4036,Multivitamins,Vitamin blend,Address deficiencies,"Nausea, vomiting",Pediatrics
81301eb4-6969-4deb-82de-ce3ea9a57265,3c966857-b162-4bc8-b808-ea36028e4036,Feeding therapy,Special diet plan,Improve caloric intake,None,Pediatrics
4a928e53-9923-4fe1-970d-5cb0fd69ec3c,ba71434e-35a6-4d1c-9580-c16fccb411e2,Ferrous sulfate,Ferrous sulfate,Increase iron levels,"Constipation, nausea",Gynecology & Obstetrics
8a3fee40-aafd-47b5-a4d9-97cd7d965198,ba71434e-35a6-4d1c-9580-c16fccb411e2,Folic acid,Folic acid,Prevent neural tube defects and treat anemia,Rare allergic reactions,Gynecology & Obstetrics
e841c484-f095-478f-9490-50778421bfa9,ba71434e-35a6-4d1c-9580-c16fccb411e2,Vitamin B12,Cyanocobalamin,Treat B12 deficiency,Injection site reactions,Gynecology & Obstetrics
62deb524-0890-4469-9765-49ada9eb1dc8,52a05f6c-cf3c-4123-a700-89fd34474d4f,Insulin,Regular Insulin,Control blood sugar,"Hypoglycemia, weight gain",Gynecology & Obstetrics
411baa74-2c3c-4193-93c1-21e5fc02e6ac,52a05f6c-cf3c-4123-a700-89fd34474d4f,Metformin,Metformin hydrochloride,Lower blood sugar,"GI upset, nausea",Gynecology & Obstetrics
4525c26c-896d-42e0-b2e1-77fa4a4b3b55,52a05f6c-cf3c-4123-a700-89fd34474d4f,Diet modification,"Low sugar, high fiber diet",Manage blood sugar,None,Gynecology & Obstetrics
a511393e-a482-4fda-b5d2-5c1a1b286455,a1e15b10-b047-467b-ad54-09aa806a4dc9,Labetalol,Labetalol hydrochloride,Lower blood pressure,"Fatigue, dizziness",Gynecology & Obstetrics
625aac2b-de5d-4293-8c42-8254206dbd7f,a1e15b10-b047-467b-ad54-09aa806a4dc9,Hydralazine,Hydralazine hydrochloride,Control severe hypertension,"Headache, tachycardia",Gynecology & Obstetrics
b06297ab-acc2-4a2e-9c4e-6968c426faa5,a1e15b10-b047-467b-ad54-09aa806a4dc9,Magnesium sulfate,Magnesium sulfate,Prevent seizures,"Flushing, nausea",Gynecology & Obstetrics
f9e3c2a0-d0de-4b38-9434-0e40a5079c09,62e33269-6415-4663-b737-c8a6cbc9761b,Methotrexate,Methotrexate,Terminate ectopic pregnancy medically,"Nausea, liver toxicity",Gynecology & Obstetrics
7e9a0fcb-a022-4281-af44-ce11801e3c26,62e33269-6415-4663-b737-c8a6cbc9761b,Pain relievers,Acetaminophen,Reduce pain,Liver toxicity if overdosed,Gynecology & Obstetrics
ef40e3ed-aa19-46d8-a134-a0aa15b97df6,62e33269-6415-4663-b737-c8a6cbc9761b,Surgery,Laparoscopy,Remove ectopic pregnancy,Surgical risks,Gynecology & Obstetrics
864d2e1a-76cf-425e-94b3-edc32f824d22,2193891e-2b6c-423d-9f39-664448b20c84,Metformin,Metformin hydrochloride,Improve insulin sensitivity,"GI upset, nausea",Gynecology & Obstetrics
f70f3141-5d23-4c83-b0c9-66d0b9987ad3,2193891e-2b6c-423d-9f39-664448b20c84,Oral contraceptives,Ethinylestradiol + Drospirenone,Regulate menstrual cycles,"Nausea, headache",Gynecology & Obstetrics
47573acf-961c-4b20-a2be-af33e473a88d,2193891e-2b6c-423d-9f39-664448b20c84,Clomiphene,Clomiphene citrate,Induce ovulation,"Hot flashes, mood changes",Gynecology & Obstetrics
cc51163d-932f-44cd-97d0-3076f2811118,92d1e6ec-cb2a-450d-b2cc-b420db1542ce,GnRH agonists,Leuprolide,Reduce estrogen and endometrial growth,"Hot flashes, bone loss",Gynecology & Obstetrics
ae5a99b9-1f45-4f27-b977-95e8e275e270,92d1e6ec-cb2a-450d-b2cc-b420db1542ce,NSAIDs,Ibuprofen,Pain relief,"Stomach upset, bleeding",Gynecology & Obstetrics
9a5f0aaf-2666-401e-94d1-4b19372f886d,92d1e6ec-cb2a-450d-b2cc-b420db1542ce,Hormonal contraceptives,Ethinylestradiol + Progestin,Regulate cycles and reduce pain,"Nausea, weight gain",Gynecology & Obstetrics
a007a9c6-95be-4d1e-b4a3-b672b681a4da,7ac090ca-5411-4b5b-a5d5-7d51ed17f5a9,Metronidazole,Metronidazole,Treat bacterial vaginosis,"Nausea, metallic taste",Gynecology & Obstetrics
60630059-257a-4703-8304-98d7ef9a27e2,7ac090ca-5411-4b5b-a5d5-7d51ed17f5a9,Clotrimazole,Clotrimazole,Treat yeast infections,"Vaginal irritation, burning",Gynecology & Obstetrics
cf8a82ac-a9c5-44b0-9b5f-435d3821d159,7ac090ca-5411-4b5b-a5d5-7d51ed17f5a9,Probiotics,Lactobacillus,Restore normal flora,Mild GI upset,Gynecology & Obstetrics
0d0c3d5e-d310-42bd-8755-47583aa39a54,46d2fb9a-b167-4855-aea0-301f4f836739,Tranexamic acid,Tranexamic acid,Reduce heavy bleeding,"Nausea, headache",Gynecology & Obstetrics
8484e8e2-87ef-4ef1-a714-2ebef4a68e71,46d2fb9a-b167-4855-aea0-301f4f836739,NSAIDs,Ibuprofen,Reduce pain and bleeding,"Stomach upset, bleeding",Gynecology & Obstetrics
0d14cf40-5c70-443f-96c6-e639c1c06287,46d2fb9a-b167-4855-aea0-301f4f836739,Oral contraceptives,Ethinylestradiol + Progestin,Regulate menstrual flow,"Nausea, weight gain",Gynecology & Obstetrics
a5007fce-0b22-4c58-8426-5b15ef518fff,d70c6d93-d6d6-4f59-ba50-2ba38b55ea60,Oral contraceptives,Ethinylestradiol + Progestin,Prevent formation of new cysts,"Nausea, weight gain",Gynecology & Obstetrics
21e9d147-727e-4ec9-b4e7-8f1eb25d0591,d70c6d93-d6d6-4f59-ba50-2ba38b55ea60,NSAIDs,Ibuprofen,Pain relief,"Stomach upset, bleeding",Gynecology & Obstetrics
9ca209dd-1eef-4943-a27f-baed1601ce97,d70c6d93-d6d6-4f59-ba50-2ba38b55ea60,Surgery,Laparoscopy,Remove cyst if large or symptomatic,Surgical risks,Gynecology & Obstetrics
